PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00MS3,rn1qr1k1/1p2bppp/2p2B2/p2p4/3P4/2N2N2/PPP1QPPP/2KRR3 b - - 0 12,e7f6 e2e8 d8e8 e1e8,824,83,83,122.0,backRankMate mate mateIn2 middlegame short,https://lichess.org/Eia6KIcR/black#24,French_Defense French_Defense_Exchange_Variation
00MTG,4r1k1/2p1qpp1/3p4/1p1P2PQ/1P5b/3R3P/2PBr3/5RK1 b - - 6 26,h4f2 f1f2 e2f2 g1f2,617,81,93,220.0,advantage middlegame short,https://lichess.org/iabpAKVz/black#52,
00MWz,8/8/2B5/4pK2/3k1pPp/5n1P/8/8 b - - 3 57,f3g1 g4g5 g1e2 g5g6,792,77,97,2190.0,crushing endgame quietMove short,https://lichess.org/1sHbVvW6/black#114,
00MYL,1R6/3k1Q2/p2b1p2/2r1p3/3n4/P6P/5PP1/4qBK1 b - - 1 40,d7c6 f7b7,1084,83,93,538.0,mate mateIn1 middlegame oneMove,https://lichess.org/fwb6IEPk/black#80,
00MZr,1k5r/ppp5/2p5/3n4/5pQ1/3P1P1r/PPP2K2/5R2 w - - 2 26,f1g1 h3h2 g1g2 d5e3,2008,75,91,1327.0,crushing endgame short,https://lichess.org/LITlSDhw#51,
00Mbv,2k2b1r/pp3ppp/1n6/BN2p1P1/2Q1Nn1P/8/PP3P2/2KR4 b - - 0 24,b6c4 d1d8,1448,75,98,458.0,mate mateIn1 middlegame oneMove,https://lichess.org/h1QfViUk/black#48,
00Mca,1k6/1Pp1rqp1/p1R5/6pp/Q6P/1P6/P4PBK/3r4 b - - 5 34,e7e6 a4c4 e6c6 c4f7,2418,77,91,4220.0,crushing endgame short,https://lichess.org/FcSCJACK/black#68,
00MeO,r1b1kb1r/1p2np2/p1p4p/4PPp1/3PN3/8/PPP3PP/R1B2RK1 b kq - 0 15,c8f5 e4d6 e8d7 d6f5,1450,75,97,8658.0,advantage middlegame short,https://lichess.org/VgF6tpXG/black#30,French_Defense French_Defense_Normal_Variation
00Mei,8/6rk/6p1/1R3b1p/2pQ1P2/2P3P1/qP4PK/8 b - - 0 36,f5d3 d4d8 a2a7 b5b8 a7b8 d8b8,2577,78,82,193.0,advantage endgame long master quietMove,https://lichess.org/xvCSyLc3/black#72,
00Mf0,2kr3r/pp1b1pq1/2n1p3/2Pp4/5Np1/1QP3P1/P4PBP/R4RK1 b - - 4 19,g7h6 f1b1 h6h2 g1f1 c6a5 b3b4,2414,87,89,446.0,advantage long middlegame quietMove,https://lichess.org/rkMC42R8/black#38,
00Msq,r5k1/1pp2Bp1/5n1p/1q2N3/3P4/7P/5PP1/4Q1K1 b - - 2 30,g8f8 f7c4 b5c4 e5c4,1799,74,92,648.0,crushing endgame short,https://lichess.org/2cdEjZvR/black#60,
